,Unnamed: 0,Date,Symbol,Close,Adj Close,Name,Sector,Name_low2,url
165,332957,2023-02-03,EXR,163.1300048828125,163.1300048828125,Extra Space Storage,Real Estate,extra,https://app.outboundsales.io/api/logo/extra.com
166,334994,2023-02-03,F,13.229999542236328,13.229999542236328,Ford,Consumer Discretionary,ford,https://app.outboundsales.io/api/logo/ford.com
167,337031,2023-02-03,FANG,138.39999389648438,138.39999389648438,Diamondback Energy,Energy,diamondback,https://app.outboundsales.io/api/logo/diamondback.com
168,339068,2023-02-03,FAST,54.20000076293945,54.20000076293945,Fastenal,Industrials,fastenal,https://app.outboundsales.io/api/logo/fastenal.com
169,341105,2023-02-03,FCX,43.15999984741211,43.15999984741211,Freeport-McMoRan,Materials,freeport-mcmoran,https://app.outboundsales.io/api/logo/freeport.com
170,343142,2023-02-03,FDX,214.6699981689453,214.6699981689453,FedEx,Industrials,fedex,https://app.outboundsales.io/api/logo/fedex.com
171,345179,2023-02-03,FE,39.52000045776367,39.52000045776367,FirstEnergy,Utilities,firstenergy,https://app.outboundsales.io/api/logo/firstenergy.com
172,347216,2023-02-03,FFIV,152.39999389648438,152.39999389648438,F5 Networks,Information Technology,f5,https://app.outboundsales.io/api/logo/f5.com
173,349253,2023-02-03,FIS,75.38999938964844,75.38999938964844,Fidelity National Information Services,Information Technology,fidelity,https://app.outboundsales.io/api/logo/fidelity.com
174,351290,2023-02-03,FISV,106.5999984741211,106.5999984741211,Fiserv,Information Technology,fiserv,https://app.outboundsales.io/api/logo/fiserv.com
175,353327,2023-02-03,FITB,37.63999938964844,37.63999938964844,Fifth Third Bancorp,Financials,fifth,https://app.outboundsales.io/api/logo/fifth.com
176,355364,2023-02-03,FLT,218.1999969482422,218.1999969482422,Fleetcor,Information Technology,fleetcor,https://app.outboundsales.io/api/logo/fleetcor.com
177,357401,2023-02-03,FMC,127.38999938964844,127.38999938964844,FMC Corporation,Materials,fmc,https://app.outboundsales.io/api/logo/fmc.com
