,Unnamed: 0,Date,Symbol,Close,Adj Close,Name,Sector
328883,328883,2023-02-03,EXPD,117.02999877929688,117.02999877929688,Expeditors,Industrials
330920,330920,2023-02-03,EXPE,118.6999969482422,118.6999969482422,Expedia Group,Consumer Discretionary
332957,332957,2023-02-03,EXR,163.1300048828125,163.1300048828125,Extra Space Storage,Real Estate
334994,334994,2023-02-03,F,13.229999542236328,13.229999542236328,Ford,Consumer Discretionary
337031,337031,2023-02-03,FANG,138.39999389648438,138.39999389648438,Diamondback Energy,Energy
339068,339068,2023-02-03,FAST,54.20000076293945,54.20000076293945,Fastenal,Industrials
341105,341105,2023-02-03,FCX,43.15999984741211,43.15999984741211,Freeport-McMoRan,Materials
343142,343142,2023-02-03,FDX,214.6699981689453,214.6699981689453,FedEx,Industrials
345179,345179,2023-02-03,FE,39.52000045776367,39.52000045776367,FirstEnergy,Utilities
347216,347216,2023-02-03,FFIV,152.39999389648438,152.39999389648438,F5 Networks,Information Technology
349253,349253,2023-02-03,FIS,75.38999938964844,75.38999938964844,Fidelity National Information Services,Information Technology
351290,351290,2023-02-03,FISV,106.5999984741211,106.5999984741211,Fiserv,Information Technology
353327,353327,2023-02-03,FITB,37.63999938964844,37.63999938964844,Fifth Third Bancorp,Financials
355364,355364,2023-02-03,FLT,218.1999969482422,218.1999969482422,Fleetcor,Information Technology
357401,357401,2023-02-03,FMC,127.38999938964844,127.38999938964844,FMC Corporation,Materials
358384,358384,2023-02-03,FOX,32.29999923706055,32.29999923706055,Fox Corporation (Class B),Communication Services
359368,359368,2023-02-03,FOXA,34.599998474121094,34.599998474121094,Fox Corporation (Class A),Communication Services
361405,361405,2023-02-03,FRC,144.5,144.5,First Republic Bank,Financials
363442,363442,2023-02-03,FRT,113.04000091552734,113.04000091552734,Federal Realty Investment Trust,Real Estate
365479,365479,2023-02-03,FTNT,53.0,53.0,Fortinet,Information Technology
367138,367138,2023-02-03,FTV,69.08000183105469,69.08000183105469,Fortive,Industrials
369175,369175,2023-02-03,GD,231.5399932861328,231.5399932861328,General Dynamics,Industrials
371212,371212,2023-02-03,GE,81.95999908447266,81.95999908447266,General Electric,Industrials
373249,373249,2023-02-03,GILD,84.5,84.5,Gilead Sciences,Health Care
375286,375286,2023-02-03,GIS,75.4800033569336,75.4800033569336,General Mills,Consumer Staples
377323,377323,2023-02-03,GL,120.16000366210938,120.16000366210938,Globe Life,Financials
379360,379360,2023-02-03,GLW,35.7400016784668,35.7400016784668,Corning,Information Technology
381397,381397,2023-02-03,GM,41.130001068115234,41.130001068115234,General Motors,Consumer Discretionary
383434,383434,2023-02-03,GNRC,122.44000244140624,122.44000244140624,Generac Holdings,Industrials
385471,385471,2023-02-03,GOOG,105.22000122070312,105.22000122070312,Alphabet (Class C),Communication Services
387508,387508,2023-02-03,GOOGL,104.77999877929688,104.77999877929688,Alphabet (Class A),Communication Services
389545,389545,2023-02-03,GPC,168.2899932861328,168.2899932861328,Genuine Parts,Consumer Discretionary
391582,391582,2023-02-03,GPN,113.05999755859376,113.05999755859376,Global Payments,Information Technology
393619,393619,2023-02-03,GRMN,101.54000091552734,101.54000091552734,Garmin,Consumer Discretionary
395656,395656,2023-02-03,GS,369.9500122070313,369.9500122070313,Goldman Sachs,Financials
397693,397693,2023-02-03,GWW,675.8099975585938,675.8099975585938,W. W. Grainger,Industrials
399730,399730,2023-02-03,HAL,38.56999969482422,38.56999969482422,Halliburton,Energy
401767,401767,2023-02-03,HAS,61.72999954223633,61.72999954223633,Hasbro,Consumer Discretionary
403804,403804,2023-02-03,HBAN,15.449999809265137,15.449999809265137,Huntington Bancshares,Financials
405841,405841,2023-02-03,HCA,258.0799865722656,258.0799865722656,HCA Healthcare,Health Care
407878,407878,2023-02-03,HD,331.5,331.5,Home Depot,Consumer Discretionary
409915,409915,2023-02-03,HES,137.57000732421875,137.57000732421875,Hess Corporation,Energy
411952,411952,2023-02-03,HIG,74.7699966430664,74.7699966430664,The Hartford,Financials
413989,413989,2023-02-03,HII,216.97000122070312,216.97000122070312,Huntington Ingalls Industries,Industrials
416026,416026,2023-02-03,HLT,146.82000732421875,146.82000732421875,Hilton Worldwide,Consumer Discretionary
418063,418063,2023-02-03,HOLX,84.68000030517578,84.68000030517578,Hologic,Health Care
420100,420100,2023-02-03,HON,202.69000244140625,202.69000244140625,Honeywell,Industrials
421937,421937,2023-02-03,HPE,16.329999923706055,16.329999923706055,Hewlett Packard Enterprise,Information Technology
423974,423974,2023-02-03,HPQ,30.51000022888184,30.51000022888184,HP,Information Technology
426011,426011,2023-02-03,HRL,45.2400016784668,45.2400016784668,Hormel,Consumer Staples
428048,428048,2023-02-03,HSIC,86.76000213623047,86.76000213623047,Henry Schein,Health Care
430085,430085,2023-02-03,HST,19.06999969482422,19.06999969482422,Host Hotels & Resorts,Real Estate
432122,432122,2023-02-03,HSY,236.27999877929688,236.27999877929688,The Hershey Company,Consumer Staples
434159,434159,2023-02-03,HUM,476.5700073242188,476.5700073242188,Humana,Health Care
435734,435734,2023-02-03,HWM,39.86000061035156,39.86000061035156,Howmet Aerospace,Industrials
437771,437771,2023-02-03,IBM,136.94000244140625,136.94000244140625,IBM,Information Technology
439808,439808,2023-02-03,ICE,107.66000366210938,107.66000366210938,Intercontinental Exchange,Financials
441845,441845,2023-02-03,IDXX,482.4100036621094,482.4100036621094,Idexx Laboratories,Health Care
443882,443882,2023-02-03,IEX,229.83999633789065,229.83999633789065,IDEX Corporation,Industrials
445919,445919,2023-02-03,IFF,113.33000183105467,113.33000183105467,International Flavors & Fragrances,Materials
447956,447956,2023-02-03,ILMN,214.25999450683597,214.25999450683597,Illumina,Health Care
449993,449993,2023-02-03,INCY,83.61000061035156,83.61000061035156,Incyte,Health Care
452030,452030,2023-02-03,INTC,30.31999969482422,30.31999969482422,Intel,Information Technology
454067,454067,2023-02-03,INTU,423.760009765625,423.760009765625,Intuit,Information Technology
456104,456104,2023-02-03,IP,41.36000061035156,41.36000061035156,International Paper,Materials
458141,458141,2023-02-03,IPG,39.11000061035156,39.11000061035156,Interpublic Group,Communication Services
